is_shorts,duration_seconds,channel_subscriber_count,channel_view_count,channel_video_count,channel_age_days,video_category_id,video_trending_country,channel_country_int,video_licensed_content,publish_hour,publish_day_of_week,title_length,tag_count,reach_level
0,2620.0,3260000.0,2405676103.0,5476.0,6101,6,1,45,1,6,6,46,1,1
1,43.0,113000.0,120254182.0,787.0,1017,10,1,18,1,2,4,33,1,1
0,18771.0,152000.0,68007501.0,3955.0,5387,6,0,18,1,19,5,45,1,1
0,103.0,22900000.0,3772493274.0,339.0,3192,6,1,13,1,8,3,68,1,3
0,13362.0,477000.0,257377127.0,1434.0,6138,13,1,45,1,14,0,30,1,2
0,2774.0,1600000.0,204690637.0,62.0,836,6,0,54,1,11,2,43,1,2
0,63.0,2960000.0,2148619593.0,58547.0,5345,9,0,45,1,9,0,33,1,2
0,1780.0,22100.0,2272841.0,191.0,1180,6,0,6,1,12,1,32,1,1
1,33.0,40400.0,56583142.0,744.0,512,4,1,45,1,11,2,19,0,1
0,27931.0,622000.0,264859545.0,2297.0,3998,6,1,45,1,15,5,35,1,1
0,15197.0,113000.0,82105932.0,2193.0,3912,6,1,45,1,20,4,89,1,1
0,605.0,203000.0,65075651.0,6508.0,4816,6,0,18,1,7,1,61,0,1
0,526.0,821000.0,1276508015.0,1108.0,2016,6,1,45,1,12,0,42,1,1
0,262.0,959000.0,577269143.0,115.0,4887,8,1,23,1,11,0,23,1,2
0,757.0,4060000.0,4329906761.0,6250.0,2237,6,0,53,1,18,2,24,1,3
0,189.0,459.0,184594619.0,150.0,3056,8,1,54,1,14,3,11,1,1
0,835.0,92100.0,54497968.0,2051.0,5220,6,1,45,1,13,0,70,1,1
0,903.0,59000.0,18715334.0,604.0,3431,6,1,45,1,20,6,38,1,1
0,1210.0,6990.0,2127032.0,100.0,685,6,1,53,1,21,4,32,1,1
0,1652.0,589000.0,134673235.0,1472.0,3969,3,1,45,1,13,1,71,1,1
0,870.0,55900.0,27042092.0,1111.0,6623,6,0,18,1,9,5,50,1,1
1,20.0,1040000.0,509439763.0,778.0,3179,4,0,45,1,12,4,9,0,3
0,569.0,203000.0,119083104.0,2060.0,3882,6,1,45,1,9,0,65,0,1
0,1330.0,1970000.0,266951330.0,206.0,3483,6,0,53,1,18,0,34,1,2
0,562.0,129000.0,85793037.0,1937.0,4490,6,1,45,1,10,4,30,1,1
