video_category_id,video_trending_country,publish_hour,publish_day_of_week,title_length,tag_count,channel_subscriber_count,video_definition,video_licensed_content,channel_have_hidden_subscribers,is_shorts,reach_level
4,1,14,1,24,0,14300.0,1,1,0,0,1
7,0,11,4,39,1,1140000.0,1,1,0,1,2
6,0,1,6,51,1,1680000.0,1,0,0,0,3
6,1,13,0,37,0,14200.0,1,1,0,0,1
4,1,10,3,40,1,43600.0,1,1,0,0,1
4,0,15,1,24,1,259000.0,1,1,0,0,1
4,1,15,4,33,1,500000.0,1,1,0,1,2
6,0,18,5,15,1,8460.0,1,1,0,0,1
4,1,13,3,52,1,9670000.0,1,1,0,0,1
6,0,12,4,47,0,739000.0,1,0,0,0,1
6,1,11,3,51,1,622000.0,1,1,0,0,1
10,1,10,3,64,0,44000.0,1,1,0,0,1
4,0,16,1,36,0,8520.0,1,1,0,0,1
6,1,18,5,92,0,40100.0,1,1,0,0,1
10,1,7,6,33,0,266000.0,1,1,0,1,1
6,0,19,6,34,1,60700.0,1,1,0,0,1
6,1,14,4,74,1,149000.0,1,1,0,0,1
4,0,11,5,38,1,4030000.0,1,1,0,1,3
10,1,12,3,43,1,130000.0,1,1,0,1,1
6,0,17,0,56,1,152000.0,1,0,0,0,1
6,1,6,0,54,1,3260000.0,1,1,0,0,1
4,0,16,0,22,1,24100.0,1,1,0,0,1
6,1,2,0,29,1,4730.0,1,1,0,0,1
4,0,17,5,56,0,31400000.0,1,1,0,0,2
10,1,3,5,35,1,102000.0,1,1,0,1,1
6,1,17,1,89,1,8420.0,1,1,0,0,1
6,1,9,0,69,1,348000.0,1,1,0,0,1
6,1,13,2,22,1,38200.0,1,1,0,0,1
6,1,16,0,33,1,52200.0,1,1,0,0,1
6,1,11,5,51,1,358000.0,1,1,0,0,1
10,1,11,1,38,1,71800.0,1,0,0,0,1
6,1,14,3,81,1,185000.0,1,1,0,0,1
6,1,1,3,40,0,80800.0,1,1,0,0,1
10,1,13,1,46,1,2790000.0,1,1,0,0,1
10,1,15,2,62,0,8310.0,1,0,0,0,1
6,1,7,2,60,1,93700.0,1,1,0,0,1
6,1,11,6,81,0,162000.0,1,1,0,0,1
6,1,6,4,18,0,14600.0,1,1,0,0,1
13,1,8,5,64,0,312000.0,1,1,0,0,1
6,1,10,5,62,1,92100.0,1,1,0,0,1
4,1,3,6,36,1,1400000.0,1,1,0,1,2
6,1,6,4,28,0,49500.0,1,1,0,0,1
10,1,0,3,98,1,57100.0,1,1,0,0,1
8,1,9,2,21,0,6760000.0,1,1,0,1,3
10,0,3,1,53,0,1710.0,1,1,0,0,1
7,1,14,4,52,0,704000.0,1,1,0,1,3
10,1,9,1,26,0,762000.0,1,0,0,0,1
6,1,11,5,59,1,2250000.0,1,1,0,0,2
6,1,10,3,62,1,69200.0,1,1,0,0,1
5,1,2,1,34,1,2330000.0,1,1,0,1,1
10,1,0,2,59,1,20200.0,1,1,0,1,1
6,1,11,6,50,1,132000.0,1,0,0,0,1
4,1,4,0,48,1,295000.0,1,1,0,1,2
6,0,13,1,65,1,65900.0,1,1,0,0,1
6,1,11,3,76,1,724000.0,1,1,0,0,1
5,0,11,2,93,1,184000.0,1,1,0,0,2
6,1,2,4,44,1,29400.0,1,1,0,0,1
6,1,10,2,30,1,3920.0,1,1,0,0,1
6,1,9,1,79,1,31600.0,1,1,0,0,1
6,0,9,2,76,1,110000.0,1,1,0,0,1
6,0,22,6,92,1,42100.0,1,1,0,0,1
6,1,12,4,80,1,325000.0,1,1,0,0,1
8,1,12,0,94,1,41700.0,1,1,0,0,2
6,1,14,6,62,0,249000.0,1,0,0,0,1
6,1,14,1,41,1,2720000.0,1,1,0,0,1
10,1,11,2,37,1,88100.0,1,1,0,1,1
6,1,10,0,83,1,64300.0,1,1,0,0,1
4,1,14,4,25,1,3480000.0,1,0,0,0,3
6,1,4,1,67,1,465000.0,1,1,0,0,1
6,1,11,2,19,1,537000.0,1,1,0,0,1
6,0,2,1,100,1,95500.0,1,1,0,0,1
10,0,8,1,62,0,122000.0,1,1,0,0,1
10,1,9,6,61,1,100000.0,1,1,0,1,2
6,1,0,2,32,1,3920000.0,1,1,0,0,1
10,1,9,3,35,0,17100.0,1,1,0,0,1
6,1,9,3,39,1,269000.0,1,1,0,0,1
6,1,18,3,53,0,140000.0,1,1,0,0,1
6,0,16,1,54,1,74300.0,1,1,0,0,1
6,1,3,5,31,1,367000.0,1,1,0,0,1
6,1,6,2,94,1,2670.0,1,1,0,0,1
8,1,2,2,60,1,12500.0,1,1,0,0,1
6,1,10,2,34,0,533000.0,1,1,0,0,1
6,1,9,4,63,1,21600.0,1,1,0,0,1
6,1,2,6,37,0,13100.0,0,1,0,0,1
6,1,10,6,57,0,527000.0,1,1,0,0,1
6,1,12,2,35,0,1910.0,1,1,0,0,1
6,0,13,5,27,1,807000.0,1,0,0,0,3
14,1,9,0,52,1,356000.0,1,1,0,0,3
7,0,6,2,17,1,56700.0,1,1,0,0,2
6,1,22,5,67,1,118000.0,1,1,0,0,1
6,1,14,1,43,1,21400000.0,1,0,0,1,2
4,1,10,0,30,0,1250000.0,1,1,0,1,1
6,0,15,1,44,1,1680000.0,1,1,0,0,2
6,1,11,2,66,1,236000.0,1,1,0,0,1
8,1,12,3,63,1,2210.0,1,1,0,0,1
6,1,2,2,53,1,140000.0,1,1,0,0,1
6,0,11,4,49,1,334000.0,1,1,0,0,1
6,0,12,4,40,0,582000.0,1,1,0,0,1
6,1,9,3,57,1,24900.0,1,1,0,0,1
6,1,13,6,48,1,143000.0,1,1,0,0,1
4,1,17,4,5,0,359000.0,1,1,0,0,1
6,1,9,1,42,1,60700.0,1,1,0,0,1
6,0,15,5,42,0,12700000.0,1,1,0,0,3
4,1,15,0,26,0,37300.0,1,1,0,0,1
8,1,10,1,2,1,2260.0,1,1,0,0,1
6,1,4,4,76,1,193000.0,1,1,0,0,1
6,1,0,5,33,1,2470000.0,1,1,0,0,2
6,1,9,2,67,1,351000.0,1,1,0,0,1
11,0,11,2,35,1,248000.0,1,1,0,1,2
6,1,11,0,46,1,120000.0,1,1,0,1,2
13,1,8,5,43,1,21700000.0,1,1,0,1,3
6,1,16,0,97,0,41400.0,1,1,0,0,1
7,1,16,5,35,1,330000.0,1,1,0,0,1
6,1,10,4,36,1,39900.0,1,1,0,0,1
6,1,12,5,29,1,1650000.0,1,1,0,0,3
6,1,5,2,69,0,88500.0,1,1,0,0,1
6,0,10,1,36,0,6830.0,1,1,0,0,1
10,1,2,3,38,0,1580.0,1,1,0,0,1
6,1,18,3,27,0,145000.0,1,1,0,0,1
4,1,14,3,71,1,577000.0,1,1,0,1,1
6,1,16,2,43,1,35900.0,1,1,0,0,1
6,0,11,1,40,0,115000.0,1,0,0,0,2
8,1,9,5,9,1,2.0,1,1,0,0,1
6,0,12,1,57,0,15200.0,1,1,0,0,1
6,0,14,4,52,1,19200.0,1,1,0,0,1
6,1,5,0,61,1,270000.0,1,1,0,0,1
6,1,8,6,52,1,25200.0,1,1,0,0,1
6,1,5,6,61,1,561000.0,1,1,0,0,1
4,0,16,4,52,1,246000.0,1,1,0,0,1
4,1,14,5,46,1,36300.0,1,1,0,1,1
6,1,10,1,69,1,46300.0,1,1,0,0,1
6,0,15,5,38,0,13200000.0,1,1,0,0,3
10,1,16,0,74,1,27900.0,1,1,0,0,1
6,1,11,4,66,0,511000.0,1,1,0,0,1
9,1,14,1,49,1,2900000.0,1,1,0,0,2
8,1,12,4,50,1,365000.0,1,1,0,0,1
6,1,1,1,75,0,67800.0,1,1,0,0,1
6,0,12,2,66,0,266000.0,1,1,0,0,1
4,0,8,0,35,1,539000.0,1,1,0,0,2
6,1,9,3,22,0,10200.0,1,1,0,0,1
6,1,10,6,72,1,180000.0,1,1,0,0,1
4,1,16,1,99,1,2410000.0,1,1,0,0,2
7,1,17,6,31,0,326000.0,1,1,0,0,1
10,1,7,4,60,0,123000.0,1,1,0,0,1
6,0,16,4,41,0,12600000.0,1,1,0,0,2
5,1,9,2,38,1,176000.0,1,1,0,1,1
6,1,9,6,39,0,29400.0,1,1,0,0,1
